Municipality,Coakley votes,Coakley %,Brown votes,Brown %,Kennedy votes,Kennedy %,Total vote,Turnout %
Westwood,2953.0,39.6%,4465.0,59.8%,47.0,0.6%,7465.0,74%
Weymouth,8104.0,34.6%,15093.0,64.4%,235.0,1.0%,23432.0,69%
Whately,420.0,56.8%,305.0,41.3%,14.0,1.9%,739.0,65%
Whitman,1683.0,30.9%,3724.0,68.4%,37.0,0.7%,5444.0,58%
Wilbraham,2216.0,34.0%,4237.0,65.1%,58.0,0.9%,6511.0,63%
Williamsburg,895.0,70.5%,355.0,28.0%,19.0,1.5%,1269.0,64%
Williamstown,2100.0,77.1%,612.0,22.5%,10.0,0.4%,2722.0,60%
Wilmington,3057.0,32.6%,6225.0,66.5%,81.0,0.9%,9363.0,60%
Winchendon,986.0,33.5%,1908.0,64.8%,51.0,1.7%,2945.0,43%
Winchester,4876.0,47.8%,5248.0,51.5%,68.0,0.7%,10192.0,68%
Windsor,252.0,63.8%,141.0,35.7%,2.0,0.5%,395.0,59%
Winthrop,2902.0,44.2%,3596.0,54.7%,71.0,1.1%,6569.0,56%
Woburn,5635.0,39.9%,8363.0,59.1%,142.0,1.0%,14140.0,57%
Worcester,19861.0,51.9%,17889.0,46.7%,532.0,1.4%,38282.0,42%
Worthington,335.0,58.8%,229.0,40.2%,6.0,1.1%,570.0,63%
Wrentham,1414.0,26.5%,3880.0,72.7%,41.0,0.8%,5335.0,71%
Yarmouth,4390.0,40.0%,6496.0,59.1%,98.0,0.9%,10984.0,60%
