Urban area (locality),Municipality,Population,Land area (hectares),Density (inh./km²),Code
Gislaved,Gislaved Municipality,10037.0,648.31,1548.18,1484.0
Gistad,Linköping Municipality,288.0,43.07,668.68,1068.0
Gladö kvarn,Huddinge Municipality,539.0,109.51,492.19,178.0
Glanshammar,Örebro Municipality,727.0,92.95,782.14,5948.0
Glemmingebro,Ystad Municipality,376.0,47.59,790.08,3424.0
Glimåkra,Östra Göinge Municipality,1383.0,185.68,744.83,2884.0
Glommen,Falkenberg Municipality,761.0,76.73,991.79,3944.0
Glommersträsk,Arvidsjaur Municipality,272.0,152.22,178.69,8584.0
Glumslöv,Landskrona Municipality,1994.0,124.20,1605.48,3428.0
Gnarp,Nordanstig Municipality,1026.0,201.64,508.83,7068.0
Gnesta,Gnesta Municipality Södertälje Municipality,5562.0,385.94,1441.16,752.0
Gnosjö,Gnosjö Municipality,4326.0,488.58,885.42,1488.0
Godegård,Motala Municipality,200.0,25.91,771.90,1070.0
Gonäs,Ludvika Municipality,357.0,103.36,345.39,6544.0
Gottne,Örnsköldsvik Municipality,218.0,57.37,379.99,7482.0
Grangärde,Ludvika Municipality,351.0,67.67,518.69,6548.0
Granö,Vindeln Municipality,238.0,98.14,242.51,8188.0
Graversfors,Norrköping Municipality,246.0,64.18,383.30,1074.0
Grebbestad,Tanum Municipality,1401.0,120.37,1163.91,4356.0
Grebo,Åtvidaberg Municipality,970.0,72.09,1345.54,1072.0
Grevie och Beden,Staffanstorp Municipality,241.0,42.69,564.54,2818.0
Grevie,Båstad Municipality,788.0,118.40,665.54,2888.0
Grillby,Enköping Municipality,972.0,85.42,1137.91,544.0
Grimslöv,Alvesta Municipality,593.0,71.21,832.75,1860.0
Grimstorp,Nässjö Municipality,344.0,44.57,771.82,1492.0
Grimsås,Tranemo Municipality,721.0,88.14,818.02,4832.0
Gripenberg,Tranås Municipality,292.0,53.61,544.67,1496.0
Grisslehamn,Norrtälje Municipality,249.0,122.24,203.70,168.0
Grums,Grums Municipality,5025.0,561.71,894.59,5676.0
Grundsund,Lysekil Municipality,627.0,70.84,885.09,4360.0
Grycksbo,Falun Municipality,1825.0,254.19,717.97,6552.0
Grytgöl,Finspång Municipality,263.0,71.89,365.84,1080.0
Grythyttan,Hällefors Municipality,891.0,152.37,584.76,5952.0
Gräfsnäs,Alingsås Municipality,367.0,81.11,452.47,4840.0
Grängesberg,Ludvika Municipality,3481.0,771.58,451.15,6556.0
Gränna,Jönköping Municipality,2553.0,152.27,1676.63,1500.0
Gränum,Olofström Municipality,223.0,36.63,608.79,2628.0
Grästorp,Grästorp Municipality,2969.0,224.83,1320.55,5260.0
Gråbo,Lerum Municipality,4195.0,230.91,1816.73,4836.0
Grödby,Nynäshamn Municipality,340.0,44.51,763.87,364.0
Gualöv,Bromölla Municipality,530.0,71.89,737.24,2892.0
Gubbo,Smedjebacken Municipality,215.0,54.04,397.85,6558.0
Gudhem,Falköping Municipality,427.0,34.21,1248.17,5264.0
Gullbrandstorp,Halmstad Municipality,1524.0,104.76,1454.75,3948.0
Gullbranna,Halmstad Municipality,704.0,50.85,1384.46,3952.0
Gulleråsen,Rättvik Municipality,333.0,186.82,178.25,6560.0
Gullringen,Vimmerby Municipality,541.0,144.35,374.78,2232.0
Gullspång,Gullspång Municipality,1167.0,173.94,670.92,5268.0
Gunnarskog,Arvika Municipality,290.0,80.58,359.89,5680.0
Gunnarstorp,Bjuv Municipality,401.0,42.22,949.79,3432.0
Gunnebo,Västervik Municipality,938.0,148.62,631.14,2236.0
Gunsta,Uppsala Municipality,380.0,29.91,1270.48,548.0
Gusselby,Lindesberg Municipality,300.0,86.02,348.76,5956.0
Gustavsberg,Sundsvall Municipality,254.0,46.32,548.36,7478.0
Gustavsberg,Värmdö Municipality,11333.0,427.00,2654.10,172.0
Gusum,Valdemarsvik Municipality,1175.0,161.61,727.06,1084.0
Gyttorp,Nora Municipality,661.0,273.89,241.34,5960.0
Gäddede,Strömsund Municipality,401.0,136.21,294.40,7840.0
Gällivare,Gällivare Municipality,8449.0,747.79,1129.86,8596.0
Gällstad,Ulricehamn Municipality,471.0,60.96,772.64,4852.0
Gällö,Bräcke Municipality,725.0,122.52,591.74,7844.0
Gängletorp,Karlskrona Municipality,369.0,64.85,569.01,2630.0
Gärds Köpinge,Kristianstad Municipality,936.0,102.18,916.03,2896.0
Gärsnäs,Simrishamn Municipality,1000.0,98.99,1010.20,2900.0
Gävle,Gävle Municipality,71033.0,4244.91,1673.37,7076.0
Gånghester,Borås Municipality,1526.0,117.10,1303.16,4848.0
Gårdby,Mörbylånga Municipality,257.0,61.33,419.04,2240.0
Gårdskär,Älvkarleby Municipality,352.0,71.08,495.22,552.0
Gårdstånga,Eslöv Municipality,343.0,43.32,791.78,3436.0
Gåvsta,Uppsala Municipality,549.0,43.93,1249.72,556.0
Göta,Lilla Edet Municipality,920.0,101.50,906.40,4856.0
Götene,Götene Municipality,4933.0,459.33,1073.96,5280.0
Götlunda,Arboga Municipality,270.0,35.54,759.71,6220.0
Habo,Habo Municipality,6883.0,454.39,1514.78,5284.0
Hackås,Berg Municipality,480.0,91.88,522.42,7848.0
Haga,Enköping Municipality,257.0,37.75,680.79,558.0
Hagby,Kalmar Municipality,689.0,193.97,355.21,2244.0
Hagbyhöjden,Österåker Municipality,479.0,12.48,3838.14,194.0
Hagfors,Hagfors Municipality,5146.0,612.87,839.66,5688.0
Hagge,Smedjebacken Municipality,342.0,50.48,677.50,6566.0
Hagryd-Dala,Kungsbacka Municipality,391.0,49.33,792.62,3954.0
Hakkas,Gällivare Municipality,365.0,150.72,242.17,8600.0
Halla Heberg,Kungsbacka Municipality,518.0,46.27,1119.52,3956.0
Hallabro,Ronneby Municipality,254.0,48.83,520.17,2632.0
Hallen,Åre Municipality,203.0,45.58,445.37,7852.0
Hallerna,Stenungsund Municipality,668.0,22.00,3036.36,4370.0
Hallsberg,Hallsberg Municipality Kumla Municipality,7122.0,818.60,870.02,5964.0
Hallstahammar,Hallstahammar Municipality,10478.0,967.04,1083.51,6224.0
Hallstavik,Norrtälje Municipality,4476.0,469.23,953.90,176.0
Halltorp,Kalmar Municipality,266.0,62.15,428.00,2248.0
Halmstad,Halmstad Municipality,58577.0,3412.98,1716.30,3960.0
Halvarsgårdarna,Borlänge Municipality,325.0,57.66,563.65,6568.0
Hamburgsund,Tanum Municipality,818.0,101.18,808.46,4372.0
Hammar,Askersund Municipality,282.0,64.81,435.12,5968.0
Hammar,Kristianstad Municipality,2057.0,141.20,1456.80,2904.0
Hammarby,Sandviken Municipality,552.0,108.29,509.74,7084.0
Hammarslund,Kristianstad Municipality,461.0,29.31,1572.84,2906.0
Hammarstrand,Ragunda Municipality,1052.0,222.48,472.85,7856.0
Hammenhög,Simrishamn Municipality,908.0,104.11,872.15,2908.0
Hammerdal,Strömsund Municipality,974.0,229.41,424.57,7860.0
Hampetorp,Örebro Municipality,297.0,75.01,395.95,5974.0
Hamrångefjärden,Gävle Municipality,509.0,156.92,324.37,7092.0
Hanaskog,Östra Göinge Municipality,1251.0,136.99,913.21,2912.0
Haparanda,Haparanda Municipality,4856.0,442.72,1096.86,8604.0
Harads,Boden Municipality,501.0,129.33,387.38,8608.0
Harbo,Heby Municipality,721.0,104.73,688.44,6228.0
Hargshamn,Östhammar Municipality,312.0,84.07,371.12,560.0
Harlösa,Eslöv Municipality,763.0,77.91,979.34,3440.0
Harmånger,Nordanstig Municipality,540.0,91.30,591.46,7096.0
Harplinge,Halmstad Municipality,1450.0,133.90,1082.90,3964.0
Hassela,Nordanstig Municipality,364.0,101.10,360.04,7172.0
Hasselfors,Laxå Municipality,428.0,126.62,338.02,5980.0
Hasslarp,Helsingborg Municipality,474.0,51.06,928.32,3444.0
Hasslö,Karlskrona Municipality,1628.0,303.08,537.15,2640.0
Hasslöv,Laholm Municipality,228.0,44.30,514.67,3968.0
Havdhem,Gotland Municipality,298.0,90.15,330.56,2508.0
Haverdal,Halmstad Municipality,1437.0,250.72,573.15,3972.0
Heberg,Falkenberg Municipality,449.0,71.02,632.22,3976.0
Heby,Heby Municipality,2550.0,353.85,720.64,6232.0
Hedared,Borås Municipality,353.0,55.62,634.66,4860.0
Hede,Härjedalen Municipality,741.0,162.58,455.78,7868.0
Hedekas,Munkedal Municipality,370.0,70.41,525.49,4380.0
Hedemora,Hedemora Municipality,7273.0,611.85,1188.69,6572.0
Hedenäset,Övertorneå Municipality,270.0,198.16,136.25,8612.0
Hedeskoga,Ystad Municipality,282.0,17.92,1573.66,3448.0
Hedesunda,Gävle Municipality,1028.0,167.69,613.04,7104.0
Hedvigsberg,Värmdö Municipality,282.0,93.21,302.54,186.0
Helsingborg,Helsingborg Municipality,97122.0,3840.98,2528.57,3452.0
Hemavan/Bierke,Storuman Municipality,222.0,90.79,244.52,8198.0
Hemmesta,Värmdö Municipality,5240.0,339.75,1542.31,180.0
Hemmingsmark,Piteå Municipality,367.0,83.93,437.27,8616.0
Hemse,Gotland Municipality,1715.0,210.69,813.99,2512.0
Henån,Orust Municipality,1816.0,197.61,918.98,4384.0
Herrestad,Uddevalla Municipality,2583.0,199.33,1295.84,4388.0
Herrljunga,Herrljunga Municipality,3822.0,370.54,1031.47,4864.0
Herräng,Norrtälje Municipality,422.0,181.43,232.60,184.0
Herstadberg,Norrköping Municipality,236.0,35.72,660.69,1088.0
Hestra,Gislaved Municipality,1306.0,187.19,697.69,1504.0
Hestra,Ydre Municipality,476.0,69.61,683.81,1092.0
Hillared,Svenljunga Municipality,578.0,110.42,523.46,4868.0
Hillerstorp,Gnosjö Municipality,1766.0,197.73,893.14,1508.0
Himle,Varberg Municipality,278.0,39.31,707.20,3982.0
Hindås,Härryda Municipality,2244.0,291.11,770.84,4392.0
Hishult,Laholm Municipality,332.0,73.93,449.07,3984.0
Hissjön,Umeå Municipality,477.0,75.57,631.20,8196.0
Hittarp,Helsingborg Municipality,4075.0,207.57,1963.19,3456.0
Hjo,Hjo Municipality,6094.0,453.81,1342.85,5296.0
Hjorted,Västervik Municipality,324.0,60.05,539.55,2256.0
Hjortkvarn,Hallsberg Municipality,238.0,91.07,261.34,5984.0
Hjortsberga,Alvesta Municipality,245.0,63.01,388.83,1872.0
Hjuvik,Gothenburg Municipality,3928.0,279.01,1407.83,4396.0
Hjälm,Kungsbacka Municipality,242.0,20.73,1167.39,3986.0
Hjälmared,Alingsås Municipality,260.0,36.20,718.23,4870.0
Hjälmared,Kungsbacka Municipality,360.0,89.32,403.05,3990.0
Hjältevad,Eksjö Municipality,335.0,103.38,324.05,1512.0
Hjärnarp,Ängelholm Municipality,975.0,126.81,768.87,2916.0
Hjärsås,Östra Göinge Municipality,229.0,39.37,581.66,2920.0
Hjärtum,Lilla Edet Municipality,367.0,48.67,754.06,4872.0
Hjärup,Staffanstorp Municipality,4265.0,169.92,2510.00,3460.0
Hofors,Hofors Municipality,6681.0,697.46,957.90,7112.0
Hofterup,Kävlinge Municipality,3501.0,276.19,1267.61,3464.0
Hogstad,Mjölby Municipality,241.0,41.87,575.59,1096.0
Hogstorp,Uddevalla Municipality,373.0,38.50,968.83,4398.0
Hok,Vaggeryd Municipality,637.0,86.11,739.75,1516.0
Holm,Halmstad Municipality,565.0,56.48,1000.35,3988.0
Holmeja,Svedala Municipality,239.0,24.51,975.11,3466.0
Holmsjö,Karlskrona Municipality,334.0,108.29,308.43,2644.0
Holmsund,Umeå Municipality,5489.0,548.23,1001.22,8200.0
Holsbybrunn,Vetlanda Municipality,729.0,110.43,660.15,1520.0
Holsljunga,Svenljunga Municipality,255.0,34.58,737.42,4876.0
Horda,Värnamo Municipality,377.0,68.69,548.84,1524.0
Horn,Kinda Municipality,495.0,79.45,623.03,1100.0
Horndal,Avesta Municipality,1114.0,337.49,330.08,6576.0
Horred,Mark Municipality,1271.0,153.20,829.63,4880.0
Hortlax,Piteå Municipality,1248.0,148.88,838.26,8620.0
Hoting,Strömsund Municipality,667.0,127.16,524.54,7876.0
Hova,Gullspång Municipality,1288.0,179.89,715.99,5300.0
Hovid,Sundsvall Municipality,225.0,35.10,641.03,7492.0
Hovmantorp,Lessebo Municipality,2991.0,255.66,1169.91,1876.0
Hovsta,Örebro Municipality,2785.0,166.45,1673.18,5988.0
Huaröd,Kristianstad Municipality,242.0,45.29,534.33,2924.0
Hudiksvall,Hudiksvall Municipality,15015.0,1007.79,1489.89,7120.0
Hult,Eksjö Municipality,455.0,51.65,880.93,1528.0
Hultafors,Bollebygd Municipality,227.0,57.46,395.06,4884.0
Hultsfred,Hultsfred Municipality,5143.0,609.17,844.26,2260.0
Hulu,Ulricehamn Municipality,266.0,40.76,652.60,4888.0
Hummelsta,Enköping Municipality,1002.0,69.62,1439.24,564.0
Hunnebostrand,Sotenäs Municipality,1731.0,167.64,1032.57,4404.0
Hurva,Eslöv Municipality,350.0,55.04,635.90,3472.0
Husby,Hedemora Municipality,256.0,70.36,363.84,6464.0
Husum,Örnsköldsvik Municipality,1647.0,399.06,412.72,7496.0
Hybo,Ljusdal Municipality,241.0,59.63,404.16,7124.0
Hyllinge,Åstorp Municipality,2204.0,162.10,1359.65,2928.0
Hyltebruk,Hylte Municipality,3716.0,491.22,756.48,3992.0
Hyssna,Mark Municipality,638.0,162.54,392.52,4892.0
Häggeby och Vreta,Håbo Municipality,224.0,61.51,364.17,570.0
Häggenås,Östersund Municipality,320.0,74.22,431.15,7880.0
Häljarp,Landskrona Municipality,2795.0,158.30,1765.63,3476.0
Hällabrottet,Kumla Municipality,1789.0,291.71,613.28,5992.0
Hällaryd,Karlshamn Municipality,546.0,70.15,778.33,2648.0
Hällberga,Eskilstuna Municipality,612.0,74.06,826.36,760.0
Hällbybrunn,Eskilstuna Municipality,3296.0,308.13,1069.68,764.0
Hällefors,Hällefors Municipality,4530.0,633.07,715.56,5996.0
Hälleforsnäs,Flen Municipality,1585.0,244.02,649.54,768.0
Hällekis,Götene Municipality,704.0,184.71,381.14,5304.0
Hällestad,Finspång Municipality,336.0,99.41,337.99,1104.0
Hällesåker,Mölndal Municipality,357.0,64.32,555.04,4410.0
Hällevadsholm,Munkedal Municipality,772.0,91.04,847.98,4412.0
Hällevik,Sölvesborg Municipality,813.0,86.52,939.67,2652.0
Hälleviksstrand,Orust Municipality,214.0,35.58,601.46,4414.0
Hällingsjö,Härryda Municipality,308.0,43.30,711.32,4354.0
Hällnäs,Vindeln Municipality,259.0,116.86,221.63,8204.0
Hälsö,Öckerö Municipality,611.0,51.35,1189.87,4420.0
Härad,Strängnäs Municipality,508.0,56.61,897.37,772.0
Häradsbygden,Leksand Municipality,643.0,144.83,443.97,6584.0
Härnösand,Härnösand Municipality,17556.0,1089.42,1611.50,7500.0
Härryda,Härryda Municipality,968.0,233.97,413.73,4424.0
Härslöv,Landskrona Municipality,382.0,35.59,1073.34,3484.0
Hässleholm,Hässleholm Municipality,18500.0,1203.45,1537.25,2936.0
Hästhagen,Nacka Municipality,499.0,32.59,1531.14,192.0
Hästholmen,Ödeshög Municipality,342.0,36.82,928.84,1108.0
Hästveda,Hässleholm Municipality,1623.0,248.80,652.33,2940.0
Håbo-Tibble kyrkby,Upplands-Bro Municipality,256.0,33.10,773.41,190.0
Håga,Uppsala Municipality,302.0,20.02,1508.49,566.0
Håksberg,Ludvika Municipality,458.0,86.33,530.52,6580.0
Hållsta,Eskilstuna Municipality,823.0,86.40,952.55,756.0
Hålsjö,Hudiksvall Municipality,214.0,84.78,252.42,7130.0
Hånger,Värnamo Municipality,301.0,35.60,845.51,1532.0
Höganäs,Höganäs Municipality,14107.0,884.62,1594.70,3488.0
Högboda,Kil Municipality,262.0,59.13,443.09,5730.0
Högsby,Högsby Municipality,1881.0,264.68,710.67,2264.0
Högsjö,Vingåker Municipality,713.0,99.23,718.53,776.0
Högsäter,Färgelanda Municipality,705.0,104.78,672.84,4900.0
Höja,Ängelholm Municipality,202.0,23.37,864.36,2942.0
Hökerum,Ulricehamn Municipality,695.0,90.05,771.79,4904.0
Hökåsen,Västerås Municipality,2956.0,176.30,1676.69,6236.0
Hököpinge,Vellinge Municipality,1105.0,65.93,1676.02,3492.0
Höllviken,Vellinge Municipality,10607.0,653.98,1621.92,3496.0
Hölö,Södertälje Municipality,1400.0,133.21,1050.97,196.0
Hönö,Öckerö Municipality,5110.0,306.30,1668.30,4428.0
Hörby,Hörby Municipality,7085.0,422.70,1676.13,3500.0
Hörnefors,Umeå Municipality,2542.0,272.07,934.32,8208.0
Hörvik,Sölvesborg Municipality,784.0,89.24,878.53,2656.0
Höviksnäs,Tjörn Municipality,1309.0,129.90,1007.70,4514.0
Höör,Höör Municipality,7865.0,611.75,1285.66,3504.0
Idala,Lund Municipality,738.0,85.23,865.89,3506.0
Idkerberget,Borlänge Municipality,290.0,121.41,238.86,6588.0
Idre,Älvdalen Municipality,794.0,180.33,440.30,6592.0
Igelfors,Finspång Municipality,214.0,64.43,332.14,1116.0
Igelstorp,Skövde Municipality,677.0,65.90,1027.31,5308.0
Iggesund,Hudiksvall Municipality,3362.0,412.38,815.27,7132.0
Ilsbo,Nordanstig Municipality,406.0,62.17,653.05,7136.0
Immeln,Östra Göinge Municipality,278.0,57.62,482.47,2948.0
Indal,Sundsvall Municipality,661.0,92.99,710.83,7504.0
Ingared,Alingsås Municipality,1299.0,77.51,1675.91,4908.0
Ingaröstrand,Värmdö Municipality,286.0,104.44,273.84,198.0
Ingatorp,Eksjö Municipality,453.0,96.57,469.09,1540.0
Ingelstad,Växjö Municipality,1674.0,210.79,794.16,1884.0
Ingelsträde,Höganäs Municipality,241.0,37.20,647.85,3508.0
Innertavle,Umeå Municipality,582.0,53.95,1078.78,8210.0
Insjön,Leksand Municipality,2149.0,347.69,618.08,6596.0
Irsta,Västerås Municipality,2717.0,161.84,1678.82,6356.0
Johannedal,Sundsvall Municipality,2754.0,200.60,1372.88,7510.0
Johannesudd,Vallentuna Municipality,249.0,9.81,2538.23,202.0
Johannishus,Ronneby Municipality,748.0,95.92,779.82,2660.0
Johansfors,Emmaboda Municipality,409.0,113.70,359.72,2272.0
Jokkmokk,Jokkmokk Municipality,2786.0,359.07,775.89,8628.0
Jonsered,Partille Municipality,930.0,63.77,1458.37,4432.0
Jonslund,Essunga Municipality,293.0,57.25,511.79,5312.0
Jonstorp,Höganäs Municipality,1880.0,147.48,1274.75,3512.0
Jordbro,Haninge Municipality,10291.0,467.56,2201.00,200.0
Jukkasjärvi,Kiruna Municipality,548.0,144.46,379.34,8632.0
Jung,Vara Municipality,408.0,104.14,391.78,5316.0
Juniskär,Sundsvall Municipality,397.0,41.95,946.36,7506.0
Junosuando,Pajala Municipality,322.0,127.14,253.26,8636.0
Junsele,Sollefteå Municipality,895.0,250.95,356.64,7512.0
Juoksengi,Övertorneå Municipality,350.0,105.79,330.84,8640.0
Jursla,Norrköping Municipality,1692.0,125.88,1344.14,1120.0
Jäderfors,Sandviken Municipality,284.0,34.84,815.15,7140.0
Jädraås,Ockelbo Municipality,220.0,75.02,293.26,7144.0
Jämjö,Karlskrona Municipality,2578.0,252.18,1022.29,2664.0
Jämshög,Olofström Municipality,1494.0,162.34,920.29,2668.0
Jämtön,Luleå Municipality,237.0,86.37,274.40,8644.0
Järbo,Sandviken Municipality,1801.0,256.31,702.66,7148.0
Järlåsa,Uppsala Municipality,493.0,56.67,869.95,568.0
Järna,Södertälje Municipality,6377.0,393.19,1621.86,204.0
Järna,Vansbro Municipality,1413.0,317.98,444.37,6468.0
Järnforsen,Hultsfred Municipality,489.0,134.72,362.98,2276.0
Järpen,Åre Municipality,1408.0,217.14,648.43,7884.0
Järpås,Lidköping Municipality,795.0,100.09,794.29,5320.0
Järvsö,Ljusdal Municipality,1407.0,213.11,660.22,7152.0
Jättendal,Nordanstig Municipality,253.0,69.91,361.89,7154.0
Jävre,Piteå Municipality,576.0,181.17,317.93,8648.0
Jönköping,Jönköping Municipality,89396.0,4482.04,1994.54,1544.0
Jönåker,Nyköping Municipality,617.0,95.72,644.59,780.0
Jörlanda,Stenungsund Municipality,789.0,66.74,1182.20,4436.0
Jörn,Skellefteå Municipality,797.0,202.68,393.23,8212.0
Jössefors,Arvika Municipality,732.0,148.06,494.39,5700.0
Kalix,Kalix Municipality,7299.0,757.36,963.74,8656.0
Kallax,Luleå Municipality,321.0,85.70,374.56,8658.0
Kallinge,Ronneby Municipality,4561.0,485.46,939.52,2672.0
Kalmar,Kalmar Municipality,36392.0,1950.08,1866.18,2280.0
Kalvsund,Öckerö Municipality,221.0,18.39,1201.74,4434.0
Kangos,Pajala Municipality,252.0,146.63,171.86,8660.0
Karby,Vallentuna Municipality,865.0,45.91,1884.12,208.0
Kareby,Kungälv Municipality,292.0,27.25,1071.56,4438.0
Karesuando,Kiruna Municipality,303.0,93.49,324.10,8664.0
Karlholmsbruk,Tierp Municipality,1150.0,236.96,485.31,572.0
Karlsborg,Kalix Municipality,351.0,204.05,172.02,8668.0
Karlsborg,Karlsborg Municipality,3551.0,540.36,657.15,5324.0
Karlshamn,Karlshamn Municipality,19075.0,1347.72,1415.35,2676.0
Karlskoga,Karlskoga Municipality,27084.0,2732.53,991.17,6008.0
Karlskrona,Karlskrona Municipality,35212.0,2172.38,1620.90,2680.0
Karlstad,Karlstad Municipality,61685.0,3030.63,2035.39,5704.0
Karlsvik,Luleå Municipality,256.0,23.11,1107.75,8670.0
Karungi,Haparanda Municipality,232.0,123.17,188.36,8672.0
Karups sommarby,Sjöbo Municipality,344.0,76.53,449.50,2952.0
Kastlösa,Mörbylånga Municipality,201.0,90.69,221.63,2284.0
Katrinedal,Vänersborg Municipality,270.0,13.99,1929.95,4330.0
Katrineholm,Katrineholm Municipality,21993.0,1146.25,1918.69,784.0
Kattarp,Helsingborg Municipality,688.0,52.58,1308.48,3516.0
Kaxholmen,Jönköping Municipality,1458.0,87.40,1668.19,1548.0
Kebal,Strömstad Municipality,258.0,27.66,932.75,4439.0
Kil,Kil Municipality,7842.0,675.20,1161.43,5708.0
Kil,Nacka Municipality,731.0,75.66,966.16,212.0
Kilafors,Bollnäs Municipality,1126.0,162.38,693.44,7156.0
Killeberg,Osby Municipality,585.0,105.12,556.51,2956.0
Kilsmo,Örebro Municipality,263.0,50.00,526.00,6012.0
Kimstad,Norrköping Municipality,1510.0,143.87,1049.56,1128.0
Kinna,Mark Municipality,14776.0,1423.97,1037.66,4912.0
Kinnared,Hylte Municipality,287.0,90.96,315.52,3996.0
Kinnarp,Falköping Municipality,917.0,128.15,715.57,5328.0
Kinnarumma,Borås Municipality,253.0,40.50,624.69,4916.0
Kiruna,Kiruna Municipality,18148.0,1652.61,1098.14,8676.0
Kisa,Kinda Municipality,3687.0,402.69,915.59,1132.0
Kivik,Simrishamn Municipality,960.0,125.26,766.41,2960.0
Kjulaås,Eskilstuna Municipality,837.0,100.22,835.16,788.0
Klagstorp,Trelleborg Municipality,323.0,38.13,847.10,3528.0
Klevshult,Vaggeryd Municipality,264.0,56.42,467.92,1552.0
Klingsta och Allsta,Sundsvall Municipality,342.0,68.07,502.42,7402.0
Klintehamn,Gotland Municipality,1363.0,212.09,642.65,2520.0
Klippan,Klippan Municipality,8116.0,500.12,1622.81,2964.0
Klippans bruk,Klippan Municipality,314.0,43.56,720.84,2968.0
Klockestrand,Kramfors Municipality,315.0,101.96,308.94,7516.0
Klockrike,Motala Municipality,272.0,51.60,527.13,1136.0
Klädesholmen,Tjörn Municipality,385.0,28.84,1334.95,4440.0
Kläppa,Kungsbacka Municipality,318.0,26.21,1213.28,3998.0
Klässbol,Arvika Municipality,293.0,58.40,501.71,5712.0
Klågerup,Svedala Municipality,1904.0,106.93,1780.60,3532.0
Klöverträsk,Luleå Municipality,246.0,66.52,369.81,8680.0
Klövsjö,Berg Municipality,291.0,221.58,131.33,7886.0
Knislinge,Östra Göinge Municipality,3030.0,273.05,1109.69,2972.0
Knivsta,Knivsta Municipality,7081.0,420.65,1683.35,576.0
Knutby,Uppsala Municipality,564.0,54.87,1027.88,580.0
Knäred,Laholm Municipality,1088.0,225.83,481.78,4000.0
Kode,Kungälv Municipality,1380.0,127.25,1084.48,4444.0
Kolbäck,Hallstahammar Municipality,1951.0,221.80,879.62,6244.0
Kolsva,Köping Municipality,2453.0,325.49,753.63,6248.0
Konga,Tingsryd Municipality,476.0,106.17,448.34,1892.0
Kopparberg,Ljusnarsberg Municipality,3016.0,672.78,448.29,6016.0
Kopparmora,Värmdö Municipality,631.0,82.08,768.76,214.0
Koppom,Eda Municipality,643.0,203.00,316.75,5716.0
Korpilombolo,Pajala Municipality,529.0,125.13,422.76,8688.0
Korsberga,Hjo Municipality,214.0,38.92,549.85,5332.0
Korsberga,Vetlanda Municipality,694.0,118.82,584.08,1752.0
Korsträsk,Älvsbyn Municipality,323.0,72.86,443.32,8692.0
Koskullskulle,Gällivare Municipality,874.0,277.92,314.48,8694.0
Kosta,Lessebo Municipality,884.0,161.73,546.59,1896.0
Kovland,Sundsvall Municipality,486.0,47.69,1019.08,7520.0
Kramfors,Kramfors Municipality,5990.0,733.85,816.24,7524.0
Kristdala,Oskarshamn Municipality,945.0,140.49,672.65,2288.0
Kristianstad,Kristianstad Municipality,35711.0,1768.62,2019.14,2980.0
Kristineberg,Lycksele Municipality,257.0,104.29,246.43,8220.0
Kristinehamn,Kristinehamn Municipality,17839.0,1335.83,1335.42,5720.0
Kristvallabrunn,Nybro Municipality,246.0,60.11,409.25,2292.0
Krokek,Norrköping Municipality,4285.0,424.49,1009.45,1140.0
Krokom,Krokom Municipality,2277.0,262.86,866.24,7888.0
Krägga,Håbo Municipality,331.0,65.50,505.34,584.0
Kulltorp,Gnosjö Municipality,334.0,74.77,446.70,1556.0
Kullö,Vaxholm Municipality,889.0,27.62,3218.68,222.0
Kumla kyrkby,Sala Municipality,206.0,55.39,371.91,6252.0
Kumla,Kumla Municipality,14062.0,778.70,1805.83,6020.0
Kummelnäs,Nacka Municipality,3848.0,530.09,725.91,216.0
Kungsbacka,Kungsbacka Municipality,19057.0,1002.57,1900.81,4008.0
Kungsberga,Ekerö Municipality,406.0,51.65,786.06,218.0
Kungsgården,Sandviken Municipality,1033.0,215.52,479.31,7168.0
Kungshamn,Sotenäs Municipality,2814.0,208.37,1350.48,4448.0
Kungshult,Eslöv Municipality,354.0,32.52,1088.56,3540.0
Kungsängen,Upplands-Bro Municipality,9382.0,362.57,2587.64,220.0
Kungsäter,Varberg Municipality,353.0,71.88,491.10,4012.0
Kungsör,Kungsör Municipality,5452.0,471.33,1156.73,6256.0
Kungälv,Kungälv Municipality,22768.0,1152.33,1975.82,4452.0
Kurland,Trelleborg Municipality,507.0,38.66,1311.43,3538.0
Kusmark,Skellefteå Municipality,441.0,114.86,383.95,8224.0
Kuttainen,Kiruna Municipality,333.0,59.73,557.51,8704.0
Kvibille,Halmstad Municipality,925.0,86.45,1069.98,4016.0
Kvicksund,Västerås Municipality Eskilstuna Municipality,1768.0,311.26,568.01,792.0
Kvidinge,Åstorp Municipality,1854.0,153.06,1211.29,2984.0
Kvillsfors,Vetlanda Municipality Hultsfred Municipality,500.0,94.76,527.65,1560.0
Kvisljungeby,Gothenburg Municipality,639.0,44.19,1446.03,4456.0
Kvissleby,Sundsvall Municipality,2614.0,189.24,1381.31,7532.0
Kvänum,Vara Municipality,1277.0,160.40,796.13,5336.0
Kvärlöv,Landskrona Municipality,226.0,36.49,619.35,3542.0
Kyrkheddinge,Staffanstorp Municipality,276.0,38.53,716.32,3543.0
Kyrkhult,Olofström Municipality,937.0,116.91,801.47,2684.0
Kyrksten,Storfors Municipality,258.0,30.46,847.01,5722.0
Kälarne,Bräcke Municipality,451.0,144.61,311.87,7896.0
Källby,Götene Municipality,1586.0,135.82,1167.72,5340.0
Källö-Knippla,Öckerö Municipality,369.0,28.92,1275.93,4476.0
