Townland,s Acre,Barony,Civil parish,Poor law union
Derryoughter West,654.0,Offaly West,Ballybrackan,Athy
Derryvarroge,1115.0,Clane,Timahoe,Naas
Dollardstown,189.0,Kilkea and Moone,Tankardstown,Athy
Donadea North,450.0,Ikeathy and Oughterany,Donadea,Celbridge
Donadea South,379.0,Ikeathy and Oughterany,Donadea,Celbridge
Donaghcumper,337.0,South Salt,Donaghcumper,Celbridge
Donaghmore,92.0,North Salt,Donaghmore,Celbridge
Donaghstown,300.0,North Salt,Laraghbryan,Celbridge
Donode,49.0,Naas South,Ballymore Eustace,Naas
Donode,378.0,Naas South,Coghlanstown,Naas
Donore,896.0,Clane,Carragh,Naas
Dowdenstown Great,334.0,Naas South,Tipperkevin,Naas
Dowdenstown Little,109.0,Connell,Ladytown,Naas
Dowdstown,199.0,North Salt,Laraghbryan,Celbridge
Downings North,878.0,Clane,Downings,Naas
Downings South,475.0,Clane,Downings,Naas
Dreenan,371.0,Carbury,Ardkill,Edenderry
Drehid,2161.0,Carbury,Ardkill,Edenderry
Drinnanstown North,404.0,Offaly East,Cloncurry,Edenderry
Drinnanstown South,404.0,Offaly East,Cloncurry,Edenderry
Drummond,733.0,Carbury,Kilpatrick,Edenderry
Drumsru,348.0,Offaly East,Feighcullen,Edenderry
Drumsru,674.0,Connell,Kilmeage,Naas
Dunbyrne,490.0,Connell,Rathernan,Naas
Duncreevan,131.0,Ikeathy and Oughterany,Kilcock,Celbridge
Duneany,1092.0,Offaly West,Duneany,Athy
Dunfierth,651.0,Carbury,Dunfierth,Edenderry
Dunmanoge,318.0,Kilkea and Moone,Dunmanoge,Athy
Dunmurraghill,501.0,Ikeathy and Oughterany,Dunmurraghill,Celbridge
Dunmurry East,301.0,Offaly East,Dunmurry,Naas
Dunmurry West,495.0,Offaly East,Dunmurry,Naas
Dunnstown,522.0,Naas South,Carnalway,Naas
Dysart,632.0,Carbury,Dunfierth,Edenderry
Eadestown,461.0,Naas North,Rathmore,Naas
Eaglehill,337.0,Offaly West,Kilrush,Athy
Easton,134.0,North Salt,Leixlip,Celbridge
Ellistown,467.0,Offaly East,Rathangan,Edenderry
Elmhall,124.0,South Salt,Donaghcumper,Celbridge
Elmhall,12.0,South Salt,Stacumny,Celbridge
Elone,213.0,Offaly West,Kilrush,Athy
Elverstown Great,248.0,Naas South,Tipperkevin,Naas
Elverstown Little,161.0,Naas South,Tipperkevin,Naas
Emlagher,82.0,Offaly East,Carn,Naas
Eskerhill,137.0,Offaly West,Harristown,Athy
Fallarees Commons,7.0,Naas South,Ballymore Eustace,Naas
Fanaghs,409.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Farranadum,259.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Fasagh,199.0,Offaly West,Ballybrackan,Athy
Fearaun,207.0,Offaly West,Kilrush,Athy
Fearavolla,74.0,Carbury,Nurney,Edenderry
Fearmore,65.0,Offaly West,Ballybrackan,Athy
Feighcullen,720.0,Offaly East,Feighcullen,Edenderry
Fennor,308.0,Offaly West,Duneany,Athy
Firmount Demense,169.0,Clane,Clane,Naas
Firmount East,163.0,Clane,Clane,Naas
Firmount West,163.0,Clane,Clane,Naas
Flemingtown North,137.0,Naas South,Killashee,Naas
Flemingtown South (or Tonaphuca),448.0,Naas South,Killashee,Naas
Fleshtown,341.0,Clane,Killybegs,Naas
Fodeens,241.0,South Salt,Kill,Naas
Fontstown Lower,352.0,Narragh and Reban East,Fontstown,Athy
Fontstown Upper,326.0,Narragh and Reban East,Fontstown,Athy
Forenaghts Great,252.0,South Salt,Forenaghts,Naas
Forenaghts Little,210.0,South Salt,Forenaghts,Naas
Forest,315.0,Narragh and Reban West,Kilberry,Athy
Foxhill,578.0,Narragh and Reban East,Moone,Athy
Foy,19.0,Offaly East,Rathangan,Edenderry
Freagh,223.0,Carbury,Kilmore,Edenderry
Friarstown,170.0,South Salt,Castledillon,Celbridge
Friarstown,478.0,Offaly East,Tully,Naas
Furryhill,673.0,Naas North,Rathmore,Naas
Gaganstown,512.0,Naas South,Jago,Naas
Gallowshill,306.0,Narragh and Reban West,St. Michaels,Athy
Gallowshill,106.0,Gowran,Gowran,Kilkenny
Garrisker,855.0,Carbury,Ballynadrumny,Edenderry
Garterfarm,124.0,Kilkea and Moone,Castledermot,Athy
Garvoge,618.0,Clane,Ballynafagh,Naas
Geraldine,356.0,Narragh and Reban West,Kilberry,Athy
Gilbinstown,374.0,Kilcullen,Kilcullen,Naas
Gilltown,932.0,Clane,Ballynafagh,Naas
Gilltown,1195.0,Naas South,Gilltown,Naas
Gilltown Common,5.0,Kilcullen,Kilcullen,Naas
Gingerstown,195.0,Clane,Carragh,Naas
Glassely,660.0,Narragh and Reban East,Narraghmore,Athy
Glebe,34.0,Narragh and Reban East,Timolin,Baltinglass
Glebe,81.0,North Salt,Straffan,Celbridge
Glebe East,124.0,Naas South,Tipperkevin,Naas
Glebe North,143.0,Kilcullen,Kilcullen,Naas
Glebe South,80.0,Kilcullen,Kilcullen,Naas
Glebe West,127.0,Naas South,Tipperkevin,Naas
Glenaree,282.0,Offaly East,Cloncurry,Edenderry
Glenmore,351.0,Naas South,Tipperkevin,Naas
Globe Island (or Cloncarlin),359.0,Offaly West,Monasterevin,Athy
Glowens,273.0,Kilkea and Moone,Kineagh,Baltinglass
Goatstown,339.0,Clane,Downings,Naas
Gormanstown,919.0,Kilcullen,Kilcullen,Naas
Gorteen,87.0,Offaly West,Ballybrackan,Athy
Gorteen,353.0,Carbury,Dunfierth,Edenderry
Gorteen Lower,129.0,Offaly West,Fontstown,Athy
Gorteen Upper,341.0,Offaly West,Fontstown,Athy
Gorteenoona,69.0,Offaly West,Monasterevin,Athy
Gorteenvacan,283.0,Kilkea and Moone,Castledermot,Athy
Gotham,221.0,Kilkea and Moone,Ballaghmoon,Athy
Goulyduff,375.0,Narragh and Reban West,Churchtown,Athy
Gragadder,175.0,Ikeathy and Oughterany,Kilcock,Celbridge
Graigrooth,41.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Graiguelin,204.0,North Salt,Taghadoe,Celbridge
Graiguepottle,240.0,Ikeathy and Oughterany,Balraheen,Celbridge
Graigues,330.0,Clane,Downings,Naas
Graiguesallagh,393.0,North Salt,Taghadoe,Celbridge
Graney East,175.0,Kilkea and Moone,Graney,Baltinglass
Graney West,233.0,Kilkea and Moone,Graney,Baltinglass
Grange,541.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Grange Beg,1832.0,Naas South,Gilltown,Naas
Grange East,107.0,Carbury,Carrick,Edenderry
Grange More,645.0,Naas South,Gilltown,Naas
Grange West,200.0,Carbury,Carrick,Edenderry
Grangebeg,389.0,Offaly West,Monasterevin,Athy
Grangeclare,162.0,Offaly East,Grangeclare,Edenderry
Grangeclare East,308.0,Connell,Kilmeage,Naas
Grangeclare Little,7.0,Connell,Kilmeage,Naas
Grangecommon,23.0,Offaly East,Cloncurry,Naas
Grangecommon,1.0,Offaly East,Dunmurry,Naas
Grangecommon,24.0,Connell,Feighcullen,Naas
Grangecoor,243.0,Offaly West,Monasterevin,Athy
Grangeford,124.0,Kilkea and Moone,Killelan,Baltinglass
Grangehiggin,888.0,Connell,Rathernan,Naas
Grangelcalre West,369.0,Connell,Kilmeage,Naas
Grangemellon,924.0,Kilkea and Moone,Tankardstown,Athy
Grangemore,148.0,Naas South,Brannockstown,Naas
Grangerosnolvan,153.0,Kilkea and Moone,Grangerosnolvan,Athy
Grangerosnolvan Lower,749.0,Kilkea and Moone,Grangerosnolvan,Athy
Grangerosnolvan Upper,519.0,Kilkea and Moone,Grangerosnolvan,Athy
Graysland,2.0,Narragh and Reban West,St. John's,Athy
Graysland,53.0,Narragh and Reban West,St. Michaels,Athy
Greatconnell,1312.0,Connell,Greatconnell,Naas
Greatrath,230.0,Offaly West,Kilrush,Athy
Greenfield,197.0,North Salt,Laraghbryan,Celbridge
Greenhall Lower,100.0,Naas South,Tipperkevin,Naas
Greenhall Upper,77.0,Naas South,Tipperkevin,Naas
Greenhills,419.0,Connell,Kildare,Naas
Greenhills,199.0,South Salt,Kill,Naas
Greenmount,122.0,Naas North,Rathmore,Naas
Greyabbey,169.0,Offaly East,Kildare,Naas
Griffinrath,472.0,North Salt,Laraghbryan,Celbridge
Guidensown North,182.0,Offaly East,Rathangan,Naas
Guidenstown South,273.0,Offaly East,Rathangan,Naas
Haggard,536.0,Carbury,Carbury,Edenderry
Halfmiletown,22.0,Kilkea and Moone,Castledermot,Athy
Hallahoise,895.0,Kilkea and Moone,Killelan,Athy
Halverstown,363.0,Clane,Carragh,Naas
Halverstown,340.0,Kilcullen,Kilcullen,Naas
Harristown,618.0,Naas South,Carnalway,Naas
Harristown Common,181.0,Naas South,Carnalway,Naas
Harristown Lower,258.0,Offaly West,Harristown,Athy
Harristown Upper,203.0,Offaly West,Harristown,Athy
Hartwell Lower,261.0,South Salt,Kill,Naas
Hartwell Upper,230.0,South Salt,Kill,Naas
Hawkfield,723.0,Connell,Morristownbiller,Naas
Haynestown,255.0,South Salt,Haynestown,Naas
Heath,197.0,Kilkea and Moone,Tankardstown,Athy
Hempstown Commons,238.0,Naas North,Rathmore,Naas
Herbertstown,493.0,Connell,Greatconnell,Naas
Hillfarm,238.0,Offaly West,Kilrush,Athy
Hillsborough,254.0,Connell,Greatconnell,Naas
Hobartstown East,287.0,Kilkea and Moone,Castledermot,Athy
Hobartstown West,422.0,Kilkea and Moone,Castledermot,Athy
Hodgestown,239.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Hodgestown,151.0,Ikeathy and Oughterany,Kilcock,Celbridge
Hodgestown,628.0,Clane,Timahoe,Naas
Hoganswood,95.0,Clane,Clane,Naas
Hoganswood East,6.0,Clane,Clane,Naas
Horsepasstown,77.0,Naas South,Ballymore Eustace,Naas
Hortland,1409.0,Ikeathy and Oughterany,Scullogestown,Celbridge
Hughstown,752.0,Kilkea and Moone,Killelan,Baltinglass
Huttonread,233.0,South Salt,Oughterard,Naas
Hybla (or Ballyneage),641.0,Offaly West,Duneany,Athy
Inch,598.0,Narragh and Reban East,Moone,Athy
Inchanearl,67.0,Offaly East,Rathangan,Edenderry
Inchaquire,686.0,Narragh and Reban East,Narraghmore,Athy
Irishtown,517.0,Kilkea and Moone,Moone,Athy
Irishtown Lower,229.0,North Salt,Straffan,Celbridge
Irishtown Upper,274.0,North Salt,Straffan,Celbridge
Ironhills,720.0,Offaly West,Kilrush,Athy
Jarretstown,47.0,North Salt,Confey,Celbridge
Jerusalem,288.0,Kilkea and Moone,Painestown,Athy
Jigginstown,1038.0,Naas North,Naas,Naas
Johninstown,224.0,North Salt,Taghadoe,Celbridge
Johnstown,409.0,Carbury,Cadamstown,Edenderry
Johnstown,178.0,Naas South,Carnalway,Naas
Johnstown,145.0,Naas North,Johnstown,Naas
Johnstown North,424.0,Kilkea and Moone,Castledermot,Athy
Johnstown South,319.0,Kilkea and Moone,Castledermot,Athy
Kealstown,326.0,North Salt,Taghadoe,Celbridge
Kearneystown Lower,72.0,South Salt,Lyons,Celbridge
Kearneystown Upper,79.0,South Salt,Lyons,Celbridge
Keeloge,137.0,Offaly East,Rathangan,Naas
Keeloges,133.0,Naas North,Whitechurch,Naas
Kellystown,212.0,North Salt,Laraghbryan,Celbridge
Kennycourt,733.0,Naas South,Gilltown,Naas
Kerdiffstown,703.0,Naas North,Kerdiffstown,Naas
Kilbeg,83.0,Offaly West,Ballybrackan,Athy
Kilbelin,288.0,Connell,Greatconnell,Naas
Kilberry,1497.0,Narragh and Reban West,Kilberry,Athy
Kilboggan,171.0,Offaly West,Kilrush,Athy
Kilbride,206.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Kilbrook,406.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Kilcock,378.0,Ikeathy and Oughterany,Kilcock,Celbridge
Kilcoo,287.0,Narragh and Reban West,Churchtown,Athy
Kilcrow,357.0,Narragh and Reban West,Churchtown,Athy
Kilcullenbridge,136.0,Naas South,Carnalway,Naas
Kilcullenbridge,201.0,Kilcullen,Kilcullen,Naas
Kildangan,988.0,Offaly West,Kildangan,Athy
Kildare,761.0,Offaly East,Kildare,Naas
Kildoon,410.0,Offaly West,Nurney,Athy
Kilglass,443.0,Carbury,Kilrainy,Edenderry
Kilgowan,696.0,Kilcullen,Kilcullen,Naas
Kilkea Lower,438.0,Kilkea and Moone,Kilkea,Athy
Kilkea Upper,532.0,Kilkea and Moone,Kilkea,Athy
Kilkeaskin,990.0,Carbury,Kilpatrick,Edenderry
Kill,262.0,Offaly West,Monasterevin,Athy
Kill East,181.0,South Salt,Kill,Naas
Kill West,378.0,South Salt,Kill,Naas
Killadoon,449.0,North Salt,Killadoon,Celbridge
Killashee,400.0,Naas South,Killashee,Naas
Killashee,14.0,Naas North,Killashee,Naas
Killeagh,294.0,Connell,Kilmeage,Naas
Killeagh Common,1.0,Offaly East,Grangeclare,Naas
Killeagh Common,4.0,Offaly East,Kildare,Naas
Killeagh Common,3.0,Offaly East,Rathangan,Naas
Killeen,542.0,Narragh and Reban East,Narraghmore,Athy
Killeen East,145.0,Offaly West,Ballybrackan,Athy
Killeen West,205.0,Offaly West,Ballybrackan,Athy
Killeenbeg,82.0,South Salt,Kill,Naas
Killeenlea,107.0,North Salt,Killadoon,Celbridge
Killeenmore,363.0,Naas North,Whitechurch,Naas
Killeighter,298.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Killelan,48.0,Kilkea and Moone,Killelan,Baltinglass
Killhill,223.0,South Salt,Kill,Naas
Killickaweeny,495.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Killinagh,494.0,Carbury,Nurney,Edenderry
Killinagh Lower,651.0,Carbury,Kilpatrick,Edenderry
Killinagh Upper,507.0,Carbury,Kilpatrick,Edenderry
Killinane,474.0,Kilcullen,Kilcullen,Naas
Killinthomas,1040.0,Offaly East,Rathangan,Edenderry
Killybegs,219.0,Clane,Killybegs,Naas
Killybegs Demesne,274.0,Clane,Killybegs,Naas
Killyguire,624.0,Offaly East,Rathangan,Edenderry
Killyon,270.0,Carbury,Dunfierth,Edenderry
Kilmacredock Lower,209.0,North Salt,Kilmacredock,Celbridge
Kilmacredock Upper,269.0,North Salt,Kilmacredock,Celbridge
Kilmagorroge,216.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Kilmalum,458.0,Naas South,Tipperkevin,Naas
Kilmead,487.0,Narragh and Reban East,Narraghmore,Athy
Kilmeage,571.0,Connell,Kilmeage,Naas
Kilmeage Little,6.0,Connell,Kilmeage,Naas
Kilmoney North,612.0,Offaly East,Rathangan,Edenderry
Kilmoney South,453.0,Offaly East,Rathangan,Naas
Kilmore,711.0,Carbury,Cadamstown,Edenderry
Kilmore,127.0,Carbury,Kilmore,Edenderry
Kilmorebrannagh,342.0,Carbury,Cadamstown,Edenderry
Kilmurry,223.0,Ikeathy and Oughterany,Donadea,Celbridge
Kilmurry,1010.0,Carbury,Dunfierth,Edenderry
Kilmurry,426.0,Clane,Clane,Naas
Kilnabooley,130.0,Offaly East,Rathangan,Edenderry
Kilnagornan,254.0,Offaly East,Kildare,Naas
Kilnamoragh South,426.0,Ikeathy and Oughterany,Donadea,Celbridge
Kilnamorogh North,158.0,Ikeathy and Oughterany,Donadea,Celbridge
Kilpatrick,130.0,Offaly West,Ballybrackan,Athy
Kilpatrick,394.0,Carbury,Kilpatrick,Edenderry
Kilrainy,523.0,Carbury,Kilrainy,Edenderry
Kilrathmurry,756.0,Carbury,Kilrainy,Edenderry
Kilrush,212.0,Offaly West,Kilrush,Athy
Kilshanchoe,252.0,Carbury,Dunfierth,Edenderry
Kiltaghan North,306.0,Offaly East,Rathangan,Edenderry
Kiltaghan South,249.0,Offaly East,Rathangan,Edenderry
Kilteel Lower,259.0,South Salt,Kilteel,Naas
Kilteel Upper,210.0,South Salt,Kilteel,Naas
Kilwarden,364.0,South Salt,Kilteel,Naas
Kilwoghan,110.0,North Salt,Kildrought,Celbridge
Kimmeens,17.0,Naas South,Ballymore Eustace,Naas
Kineagh,442.0,Kilcullen,Kilcullen,Naas
Kingsbog (or Common),663.0,Offaly East,Kildare,Naas
Kingsland,108.0,Narragh and Reban East,Usk,Naas
Kinnafad,626.0,Carbury,Carrick,Edenderry
Kishawanny Lower,263.0,Carbury,Kilmore,Edenderry
Kishawanny Upper,333.0,Carbury,Kilmore,Edenderry
Knavinstown,618.0,Offaly West,Knavinstown,Athy
Knockanally,511.0,Ikeathy and Oughterany,Scullogestown,Celbridge
Knockaphuca,82.0,Kilkea and Moone,Castledermot,Athy
Knockatippaun,140.0,Naas South,Brannockstown,Naas
Knockaulin,300.0,Kilcullen,Kilcullen,Naas
Knockbane,113.0,Kilkea and Moone,Castledermot,Carlow
Knockbounce,158.0,Kilcullen,Kilcullen,Naas
Knockcor,547.0,Carbury,Mylerstown,Edenderry
Knockfield,404.0,Kilkea and Moone,Graney,Baltinglass
Knocknacree,47.0,Kilkea and Moone,Castledermot,Athy
Knocknacree,271.0,Kilkea and Moone,Graney,Athy
Knocknagalliagh,285.0,Offaly East,Kildare,Edenderry
Knocknagee,479.0,Kilkea and Moone,Ballaghmoon,Athy
Knockpatrick,422.0,Kilkea and Moone,Graney,Baltinglass
Knockroe,299.0,Kilkea and Moone,Dunmanoge,Athy
Knockroe,325.0,Kilkea and Moone,Graney,Baltinglass
Knockshanagh,388.0,Kilkea and Moone,Graney,Baltinglass
Knockshough Glebe,125.0,Offaly East,Kildare,Naas
Lackagh Beg,503.0,Offaly West,Lackagh,Athy
Lackagh More,486.0,Offaly West,Lackagh,Athy
Lackaghbog,21.0,Offaly West,Lackagh,Athy
Ladycastle Lower,402.0,Naas North,Whitechurch,Naas
Ladycastle Lower,402.0,Naas North,Whitechurch,Naas
Ladycastle Upper,315.0,Naas North,Whitechurch,Naas
Ladycastle Upper,315.0,Naas North,Whitechurch,Naas
Ladyhill,155.0,Naas North,Bodenstown,Naas
Ladyhill,155.0,Naas North,Bodenstown,Naas
Ladytown,1147.0,Connell,Ladytown,Naas
Landenstown,568.0,Clane,Brideschurch,Naas
Laragh,188.0,Ikeathy and Oughterany,Kilcock,Celbridge
Laragh Demesne,639.0,Ikeathy and Oughterany,Kilcock,Celbridge
Laraghbryan East,273.0,North Salt,Laraghbryan,Celbridge
Laraghbryan West,119.0,North Salt,Laraghbryan,Celbridge
Larch Hill,119.0,Offaly West,Ballybrackan,Athy
Lattensbog,194.0,Connell,Oldconnell,Naas
Leinsterlodge,290.0,Kilkea and Moone,Tankardstown,Athy
Leixlip,604.0,North Salt,Leixlip,Celbridge
Leixlip Demsne,286.0,North Salt,Leixlip,Celbridge
Lenagorra,184.0,Offaly West,Harristown,Athy
Levitstown,653.0,Kilkea and Moone,Dunmanoge,Athy
Levitstown,384.0,Kilkea and Moone,Tankardstown,Athy
Lewistown,523.0,Connell,Ladytown,Naas
Lipstown,198.0,Narragh and Reban East,Narraghmore,Athy
Lipstown Lower,409.0,Narragh and Reban East,Davidstown,Athy
Lipstown Upper,216.0,Narragh and Reban East,Davidstown,Athy
Lisbush,123.0,Kilkea and Moone,Ballaghmoon,Athy
Littleconnell,376.0,Connell,Oldconnell,Naas
Littlerath,170.0,Naas North,Bodenstown,Naas
Littletown,175.0,Connell,Kilmeage,Naas
Lodgefarm,720.0,Kilkea and Moone,Kilkea,Athy
Lodgepark,233.0,North Salt,Straffan,Celbridge
Logstown,170.0,Naas South,Carnalway,Naas
Longstone,170.0,Naas South,Ballymore Eustace,Naas
Longtown,64.0,North Salt,Straffan,Celbridge
Longtown Demesne,326.0,Clane,Killybegs,Naas
Longtown North,124.0,Clane,Killybegs,Naas
Longtown South,305.0,Clane,Killybegs,Naas
Loughabor,276.0,Offaly West,Fontstown,Athy
Loughandys,105.0,Offaly East,Kildare,Naas
Loughanure Commons,108.0,Clane,Clane,Naas
Loughbollard Commons,32.0,Clane,Clane,Naas
Loughbrown,186.0,Offaly East,Pollardstown,Naas
Loughlinstown,248.0,South Salt,Donaghcumper,Celbridge
Loughlion,78.0,Offaly East,Kildare,Naas
Loughminane,101.0,Offaly East,Kildare,Naas
Loughnacush,189.0,Carbury,Ardkill,Edenderry
Loughtown,235.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Lowtown,743.0,Narragh and Reban West,Kilberry,Athy
Lowtown,504.0,Connell,Kilmeage,Naas
Lugadoo,91.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Lugadowden,78.0,Naas South,Tipperkevin,Naas
Lughil,275.0,Offaly West,Ballybrackan,Athy
Lullybeg,2203.0,Offaly East,Cloncurry,Edenderry
Lullymore East,1090.0,Offaly East,Lullymore,Edenderry
Lullymore West,1566.0,Offaly East,Lullymore,Edenderry
Lynamsgarden,125.0,Narragh and Reban East,Narraghmore,Athy
Lyons,540.0,South Salt,Lyons,Celbridge
Maddenstown Demesne,200.0,Offaly East,Ballysax,Naas
Maddenstown Middle,392.0,Offaly East,Ballysax,Naas
Maddenstown North,368.0,Offaly East,Ballysax,Naas
Maddenstown South,662.0,Offaly East,Ballysax,Naas
Maganey Lower,246.0,Kilkea and Moone,Dunmanoge,Athy
Maganey Upper,14.0,Kilkea and Moone,Dunmanoge,Athy
Mainham,172.0,Ikeathy and Oughterany,Mainham,Celbridge
Mariavilla,297.0,North Salt,Laraghbryan,Celbridge
Marshalstown,353.0,Kilkea and Moone,Killelan,Baltinglass
Martinstown,53.0,Offaly East,Ballysax,Athy
Martinstown,374.0,Offaly East,Ballyshannon,Athy
Martinstown,274.0,Offaly East,Carn,Athy
Martinstown,150.0,Offaly East,Tully,Athy
Martinstown,315.0,Carbury,Cadamstown,Edenderry
Maudlings,361.0,Naas North,Naas,Naas
Maws,527.0,North Salt,Laraghbryan,Celbridge
Mayfield (or Ballynagalliagh),303.0,Offaly West,Duneany,Athy
Maynooth,483.0,North Salt,Laraghbryan,Celbridge
Maynooth South,36.0,North Salt,Laraghbryan,Celbridge
Merville (or Brewel East),418.0,Narragh and Reban East,Usk,Naas
Milemill,7.0,Naas South,Gilltown,Naas
Millfarm,193.0,Offaly West,Kilrush,Athy
Millfarm,23.0,Offaly West,Lackagh,Athy
Millicent Demesne,247.0,Clane,Clane,Naas
Millicent North,97.0,Clane,Clane,Naas
Millicent South,325.0,Clane,Clane,Naas
Milltown,460.0,Narragh and Reban West,Churchtown,Athy
Milltown,378.0,Connell,Feighcullen,Naas
Moat Commons,22.0,Clane,Clane,Naas
Moatavanny,217.0,Kilkea and Moone,Castledermot,Baltinglass
Moatstown,113.0,Narragh and Reban West,Churchtown,Athy
Monaclaudy,187.0,Kilkea and Moone,Ballaghmoon,Athy
Monapheeby (or Boherbaun Upper),374.0,Offaly West,Harristown,Athy
Monasterevin,208.0,Offaly West,Monasterevin,Athy
Monasterevin Bog,153.0,Offaly West,Monasterevin,Athy
Monatore,88.0,Narragh and Reban East,Narraghmore,Athy
Moneycooly,408.0,North Salt,Laraghbryan,Celbridge
Monread North,299.0,Naas North,Naas,Naas
Monread South,296.0,Naas North,Naas,Naas
Moods,383.0,Clane,Downings,Naas
Moone,2877.0,Kilkea and Moone,Moone,Athy
Mooreabbey Demesne,1267.0,Offaly West,Monasterevin,Athy
Mooretown,524.0,Offaly East,Kildare,Naas
Moorfield,437.0,Connell,Morristownbiller,Naas
Moorhill,225.0,Naas South,Gilltown,Naas
Moorhill,206.0,Naas South,Jago,Naas
Moortown,206.0,North Salt,Kildrought,Celbridge
Moortown,382.0,Ikeathy and Oughterany,Mainham,Celbridge
Moortown,205.0,Connell,Ladytown,Naas
Moortown,378.0,Kilcullen,Tully,Naas
Moortowncastle,372.0,Kilcullen,Tully,Athy
Morganstown,96.0,Naas South,Kill,Naas
Morristown,101.0,South Salt,Forenaghts,Naas
Morristown Little,59.0,Connell,Oldconnell,Naas
Morristown Lower,200.0,Connell,Oldconnell,Naas
Morristown Upper,332.0,Connell,Oldconnell,Naas
Morristownbiller,435.0,Connell,Morristownbiller,Naas
Mounntarmstrong,368.0,Ikeathy and Oughterany,Mainham,Celbridge
Mountprospect,249.0,Offaly East,Rathangan,Edenderry
Mountrice,632.0,Offaly West,Lackagh,Athy
Mountrice Bog,43.0,Offaly West,Lackagh,Athy
Moyleabbey,197.0,Narragh and Reban East,Narraghmore,Baltinglass
Moyvally,1363.0,Carbury,Ballynadrumny,Edenderry
Mucklon,739.0,Carbury,Dunfierth,Edenderry
Mulgeeth,835.0,Carbury,Dunfierth,Edenderry
Mullacash Middle,265.0,Naas South,Killashee,Naas
Mullacash North,159.0,Naas South,Killashee,Naas
Mullacash South,276.0,Naas South,Killashee,Naas
Mullaghboy,147.0,Naas South,Carnalway,Naas
Mullaghmoyne East,187.0,Offaly West,Ballyshannon,Athy
Mullaghmoyne West,201.0,Offaly West,Ballyshannon,Athy
Mullaghreelan,500.0,Kilkea and Moone,Kilkea,Athy
Mullaghroe Lower,106.0,Offaly West,Lackagh,Athy
Mullaghroe Upper,105.0,Offaly West,Lackagh,Athy
Mullamast,1451.0,Kilkea and Moone,Narraghmore,Athy
Mullantine,137.0,Offaly East,Rathangan,Edenderry
Mullarney,99.0,Kilkea and Moone,Castledermot,Athy
Mylerstown,244.0,Offaly West,Harristown,Athy
Mylerstown,499.0,Carbury,Mylerstown,Edenderry
Mylerstown,338.0,Naas South,Killashee,Naas
Mylerstown,792.0,Connell,Rathernan,Naas
Mynagh,101.0,Offaly West,Lackagh,Athy
Mynagh,50.0,Offaly West,Rathangan,Athy
Naas East,524.0,Naas North,Naas,Naas
Naas West,538.0,Naas North,Naas,Naas
Narrabeg,202.0,Kilkea and Moone,Killelan,Baltinglass
Narramore,589.0,Narragh and Reban East,Narraghmore,Athy
Narramore Demesne,307.0,Narragh and Reban East,Narraghmore,Athy
Newabbey,293.0,Naas South,Brannockstown,Naas
Newhall,570.0,Connell,Ladytown,Naas
Newhall,7.0,Connell,Oldconnell,Naas
Newland North,757.0,Naas South,Killashee,Naas
Newland South,144.0,Naas South,Killashee,Naas
Newland West,205.0,Naas South,Killashee,Naas
Newpark,220.0,Connell,Kilmeage,Naas
Newrow,70.0,South Salt,Kilteel,Naas
Newtown,373.0,Offaly West,Ballyshannon,Athy
Newtown,47.0,Kilkea and Moone,Castledermot,Athy
Newtown,207.0,Kilkea and Moone,Killelan,Baltinglass
Newtown,452.0,Kilkea and Moone,Kineagh,Baltinglass
Newtown,427.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Newtown,289.0,South Salt,Donaghcumper,Celbridge
Newtown,347.0,North Salt,Laraghbryan,Celbridge
Newtown,216.0,North Salt,Leixlip,Celbridge
Newtown,525.0,Offaly East,Rathangan,Edenderry
Newtown,267.0,Offaly East,Kildare,Naas
Newtown,95.0,South Salt,Kill,Naas
Newtown,206.0,Naas South,Killashee,Naas
Newtown,74.0,Naas North,Rathmore,Naas
Newtown,534.0,Naas North,Tipper,Naas
Newtown,380.0,Offaly East,Tully,Naas
Newtown Baltracey,102.0,Naas North,Tipper,Naas
Newtown Great,469.0,Naas North,Rathmore,Naas
Newtown Little,23.0,Naas North,Rathmore,Naas
Newtownallen,602.0,Kilkea and Moone,Ballaghmoon,Athy
Newtownbert,813.0,Narragh and Reban West,Kilberry,Athy
Newtowndonore,873.0,Clane,Downings,Naas
Newtownhortland,255.0,Ikeathy and Oughterany,Scullogestown,Celbridge
Newtownlaragh,86.0,Ikeathy and Oughterany,Kilcock,Celbridge
Newtownmacabe,324.0,North Salt,Taghadoe,Celbridge
Newtownmoneenluggagh,128.0,Ikeathy and Oughterany,Scullogestown,Celbridge
Newtownpark,270.0,Naas North,Rathmore,Naas
Newtownpilsworth,287.0,Kilkea and Moone,Dunmanoge,Athy
Nicholastown,962.0,Kilkea and Moone,Tankardstown,Athy
